,user_id,age,occupation,gender
417,450917,29,academic/educator,M
418,672662,29,sales/marketing,F
419,477196,25,executive/managerial,M
420,343512,34,artist,F
421,870229,25,sales/marketing,M
422,735655,34,college/grad student,M
423,444968,27,self-employed,M
424,567527,27,college/grad student,M
425,305005,34,sales/marketing,F
426,120814,26,executive/managerial,M
427,886239,31,other or not specified,M
428,983054,32,college/grad student,M
429,393466,33,customer service,M
430,327279,27,scientist,M
431,672662,29,sales/marketing,F
432,454840,27,academic/educator,M
433,224680,33,executive/managerial,M
434,129908,36,executive/managerial,M
435,294056,25,scientist,M
436,444968,27,self-employed,M
437,795164,31,college/grad student,M
438,258140,31,other or not specified,M
439,886239,31,other or not specified,M
440,120814,26,executive/managerial,M
441,765366,25,executive/managerial,M
442,420334,33,college/grad student,F
443,672662,29,sales/marketing,F
444,110541,30,college/grad student,M
445,224680,33,executive/managerial,M
446,444968,27,self-employed,M
447,258140,31,other or not specified,M
448,998553,83,other or not specified,M
449,393466,33,customer service,M
450,777330,27,academic/educator,F
451,137270,26,college/grad student,F
452,672662,29,sales/marketing,F
453,461,22,customer service,M
454,224680,33,executive/managerial,M
455,520839,31,sales/marketing,F
456,444968,27,self-employed,M
457,676732,29,sales/marketing,M
458,258140,31,other or not specified,M
459,567527,27,college/grad student,M
460,305005,34,sales/marketing,F
461,886239,31,other or not specified,M
462,120814,26,executive/managerial,M
463,950068,27,college/grad student,M
464,941170,25,scientist,M
465,672662,29,sales/marketing,F
466,39840,28,executive/managerial,M
467,652836,31,college/grad student,M
468,454840,27,academic/educator,M
469,444968,27,self-employed,M
470,294056,25,scientist,M
471,618945,25,executive/managerial,M
472,886239,31,other or not specified,M
473,777330,27,academic/educator,F
474,795164,31,college/grad student,M
475,258125,34,sales/marketing,M
476,672662,29,sales/marketing,F
477,224680,33,executive/managerial,M
478,444968,27,self-employed,M
479,458694,44,sales/marketing,M
480,258140,31,other or not specified,M
481,886239,31,other or not specified,M
482,393466,33,customer service,M
483,110541,30,college/grad student,M
484,485274,28,college/grad student,M
485,639232,27,college/grad student,F
486,528121,27,college/grad student,M
487,39840,28,executive/managerial,M
488,870229,25,sales/marketing,M
489,137270,26,college/grad student,F
490,618945,25,executive/managerial,M
491,886239,31,other or not specified,M
492,789145,31,sales/marketing,M
493,520839,31,sales/marketing,F
494,777330,27,academic/educator,F
495,584140,26,college/grad student,M
496,672662,29,sales/marketing,F
497,735655,34,college/grad student,M
498,305005,34,sales/marketing,F
499,224680,33,executive/managerial,M
